brand,model,url,category,source,sourceType,sourceId
"Gpx Tde1587b 15.6"" Led Tv/dvd Combination",GPXTDE1587B,https://www.staples.com/Gpx-Tde1587b-15-6-Led-Tv-dvd-Combination/product_23974711,Televisions,Staples,retailer,6
"Samsung 32"" 1080p Slim LED LCD Display",DM32E,https://www.staples.com/Samsung-32-1080p-Slim-LED-LCD-Display/product_IM11C4019,Televisions,Staples,retailer,6
"Supersonic® 1366 x 768 SC-1912 19"" Widescreen LED HD Television With Built-In DVD Player",93575730M,https://www.staples.com/Supersonic-1366-x-768-SC-1912-19-Widescreen-LED-HD-Television-With-Built-In-DVD-Player/product_132970,Televisions,Staples,retailer,6
"NEC V323-2 32"" 1080p Full HD High-Performance Commercial-Grade LED Display, Black",V323-2,https://www.staples.com/NEC-V323-2-32-1080p-Full-HD-High-Performance-Commercial-Grade-LED-Display-Black/product_IM1ZL8531,Televisions,Staples,retailer,6
"Naxa Ntd-2457a 23.6"" Led Tv & Dvd/media Player Combination With Car Package",NAXNTD2457,https://www.staples.com/Naxa-Ntd-2457a-23-6-Led-Tv-Dvd-media-Player-Combination-With-Car-Package/product_23974817,Televisions,Staples,retailer,6
"NEC Display 50"" LED Backlit Display with Integrated ATSC/NTSC Tuner",E506,https://www.staples.com/NEC-Display-50-LED-Backlit-Display-with-Integrated-ATSC-NTSC-Tuner/product_IM18J9005,Televisions,Staples,retailer,6
"Philips 84"" U-Line Display",BDL 8470QU,https://www.staples.com/philips-84-u-line-display/product_23976644,Televisions,Staples,retailer,6
"NEC Display 48"" Commercial-Grade Large Format Display",V484,https://www.staples.com/NEC-Display-48-Commercial-Grade-Large-Format-Display/product_IM18K1934,Televisions,Staples,retailer,6
"NEC Display MultiSync E656 LCD 65"" Entry Level Large Format Display",E656,https://www.staples.com/NEC-Display-MultiSync-E656-LCD-65-Entry-Level-Large-Format-Display/product_IM18K3278,Televisions,Staples,retailer,6
"NEC Display 48"" Professional-Grade Large Format Display",P484,https://www.staples.com/nec-display-48-professional-grade-large-format-display/product_IM18K1932,Televisions,Staples,retailer,6
Axess TVD1805-19 18.5 in. 1366 x 768  HD LED TV with DVD Player Black,935102930M,https://www.staples.com/axess-tvd1805-19-18-5-in-1366-x-768-hd-led-tv-with-dvd-player-black/product_24272215,Televisions,Staples,retailer,6
Philips Signage Solutions U-Line 75BDL3000U,75BDL3000U,https://www.staples.com/philips-signage-solutions-u-line-75bdl3000u/product_24326128,Televisions,Staples,retailer,6
Philips Signage Solutions 43BDL4051T,43BDL4051T,https://www.staples.com/philips-signage-solutions-43bdl4051t/product_24326122,Televisions,Staples,retailer,6
Philips Signage Solutions D-Line 32BDL4050D,32BDL4050D,https://www.staples.com/philips-signage-solutions-d-line-32bdl4050d/product_24326132,Televisions,Staples,retailer,6
"NEC Display 55"" Commercial-Grade Large Format Display",V554,https://www.staples.com/nec-display-55-commercial-grade-large-format-display/product_IM18K1935,Televisions,Staples,retailer,6
Philips Signage Solutions 75BDL3010T,75BDL3010T,https://www.staples.com/philips-signage-solutions-75bdl3010t/product_24326131,Televisions,Staples,retailer,6
Philips Signage Solutions H-Line 75BDL3003H,75BDL3003H,https://www.staples.com/philips-signage-solutions-h-line-75bdl3003h/product_24326121,Televisions,Staples,retailer,6
Philips Signage Solutions E-Line BDL5570EL,BDL5570EL,https://www.staples.com/philips-signage-solutions-e-line-bdl5570el/product_24326130,Televisions,Staples,retailer,6
Philips Signage Solutions Q-Line 86BDL3050Q,86BDL3050Q,https://www.staples.com/philips-signage-solutions-q-line-86bdl3050q/product_24326125,Televisions,Staples,retailer,6
Philips Signage Solutions Q-Line 75BDL3050Q,75BDL3050Q,https://www.staples.com/philips-signage-solutions-q-line-75bdl3050q/product_24326124,Televisions,Staples,retailer,6
Philips Signage Solutions Q-Line 55BDL3050Q,55BDL3050Q,https://www.staples.com/philips-signage-solutions-q-line-55bdl3050q/product_24326126,Televisions,Staples,retailer,6
Shuttle XPC nano NS02A Digital Signage Appliance,NS02A,https://www.staples.com/Shuttle-XPC-nano-NS02A-Digital-Signage-Appliance/product_IM18G9289,Televisions,Staples,retailer,6
Philips Signage Solutions BDL4988XC,BDL4988XC,https://www.staples.com/philips-signage-solutions-bdl4988xc/product_24326138,Televisions,Staples,retailer,6
Philips Signage Solutions P-Line 55BDL5055P,55BDL5055P,https://www.staples.com/philips-signage-solutions-p-line-55bdl5055p/product_24326136,Televisions,Staples,retailer,6
Panasonic TH-55VF1HU Digital Signage Display,TH-55VF1HU,https://www.staples.com/Panasonic-TH-55VF1HU-Digital-Signage-Display/product_IM17U0089,Televisions,Staples,retailer,6
Philips Signage Solutions D-Line 65BDL4050D,65BDL4050D,https://www.staples.com/philips-signage-solutions-d-line-65bdl4050d/product_24326133,Televisions,Staples,retailer,6
Philips Signage Solutions P-Line 42BDL5055P,42BDL5055P,https://www.staples.com/philips-signage-solutions-p-line-42bdl5055p/product_24326134,Televisions,Staples,retailer,6
Elo ECM Android Computer Modules,E336899,https://www.staples.com/Elo-ECM-Android-Computer-Modules/product_IM12R5685,Televisions,Staples,retailer,6
Philips Signage Solutions D-Line 55BDL4050D,55BDL4050D,https://www.staples.com/philips-signage-solutions-d-line-55bdl4050d/product_24326129,Televisions,Staples,retailer,6
Philips Signage Solutions BDL5588XC,BDL5588XC,https://www.staples.com/philips-signage-solutions-bdl5588xc/product_24326123,Televisions,Staples,retailer,6
"Philips 43"" Multi Touch Display",43BDL4051T,https://www.staples.com/philips-43-multi-touch-display/product_23976645,Televisions,Staples,retailer,6
Philips Signage Solutions V-Line BDL5590VL,BDL5590VL,https://www.staples.com/philips-signage-solutions-v-line-bdl5590vl/product_24326127,Televisions,Staples,retailer,6
Elo Digital Signage Appliance (E992401),E992401,https://www.staples.com/Elo-Digital-Signage-Appliance-E992401/product_IM18B7204,Televisions,Staples,retailer,6
Philips Signage Solutions 65BDL3051T,65BDL3051T,https://www.staples.com/philips-signage-solutions-65bdl3051t/product_24326135,Televisions,Staples,retailer,6
Philips Signage Solutions D-Line 49BDL4050D,49BDL4050D,https://www.staples.com/philips-signage-solutions-d-line-49bdl4050d/product_24326137,Televisions,Staples,retailer,6
"Samsung 470 Series HG40NE470SFXZA 40"" 1080p Hospitality LED-LCD TV, Black",HG40NE470SFXZA,https://www.staples.com/Samsung-470-Series-HG40NE470SFXZA-40-1080p-Hospitality-LED-LCD-TV-Black/product_IM14Q2438,Televisions,Staples,retailer,6
"Samsung 470 Series HG55NE470BFXZA 55"" 1080p LED-LCD TV, Black",HG55NE470BFXZA,https://www.staples.com/Samsung-470-Series-HG55NE470BFXZA-55-1080p-LED-LCD-TV-Black/product_IM14Q2447,Televisions,Staples,retailer,6
"VIZIO D-Series D43N-E1 43"" 1080p Class Full Array LED-LCD TV, Black",D43N-E1,https://www.staples.com/VIZIO-D-Series-D43N-E1-43-1080p-Class-Full-Array-LED-LCD-TV-Black/product_IM14T7593,Televisions,Staples,retailer,6
"VIZIO D-Series D50N-E1 50"" FHD Full-Array LED TV, Black",D50N-E1,https://www.staples.com/VIZIO-D-Series-D50N-E1-50-FHD-Full-Array-LED-TV-Black/product_IM14T9969,Televisions,Staples,retailer,6
"LG 43LJ5500 49"" Class Full HD 1080P TV with Smart tv",43LJ5500,https://www.staples.com/lg-43lj5500-49-class-full-hd-1080p-tv-with-smart-tv/product_24328484,Televisions,Staples,retailer,6
"Samsung J6201-Series UN55J6201AFXZA 55"" Class 1080p FHD LED LCD TV, Black",UN55J6201AFXZA,https://www.staples.com/Samsung-J6201-Series-UN55J6201AFXZA-55-Class-1080p-FHD-LED-LCD-TV-Black/product_IM17K5031,Televisions,Staples,retailer,6
"Samsung KS9000 Series UN55KS9000FXZA/B 55"" 4K SUHD LED LCD Smart TV",UN55KS9000FXZA/B,https://www.staples.com/samsung-ks9000-series-un55ks9000fxza-b-55-4k-suhd-led-lcd-smart-tv/product_IM12GH238,Televisions,Staples,retailer,6
"VIZIO D Series D40F-E1 40"" Full HD LED-LCD Smart TV",D40F-E1,https://www.staples.com/vizio-d-series-d40f-e1-40-full-hd-led-lcd-smart-tv/product_IM14U1227,Televisions,Staples,retailer,6
"Samsung 477 Series HG43NE477SFXZA 43"" 1080p Full HD Hospitality LED LCD TV, Black",HG43NE477SFXZA,https://www.staples.com/Samsung-477-Series-HG43NE477SFXZA-43-1080p-Full-HD-Hospitality-LED-LCD-TV-Black/product_IM14Q2442,Televisions,Staples,retailer,6
"Samsung 470 Series HG28NE470AF 28"" 720p Hospitality LED LCD TV, Black",HG28NE470AFXZA,https://www.staples.com/Samsung-470-Series-HG28NE470AF-28-720p-Hospitality-LED-LCD-TV-Black/product_IM13V6120,Televisions,Staples,retailer,6
"Samsung 477 Series HG55NE477BFXZA 55"" 1080p Hospitality LED-LCD TV, Black",HG55NE477BFXZA,https://www.staples.com/Samsung-477-Series-HG55NE477BFXZA-55-1080p-Hospitality-LED-LCD-TV-Black/product_IM14Q2448,Televisions,Staples,retailer,6
"LG 22LJ4540 22"" Class Full 1080P LED TV",22LJ4540,https://www.staples.com/lg-22lj4540-22-class-full-1080p-led-tv/product_24328494,Televisions,Staples,retailer,6
"Samsung 6300 UN55MU6300F 55"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Black, Dark Titan",UN55MU6300FXZA,https://www.staples.com/samsung-6300-un55mu6300f-55-2160p-led-lcd-tv-16-9-4k-uhdtv-black-dark-titan/product_2801242,Televisions,Staples,retailer,6
"VIZIO D D24hn-E1 24"" 720p LED-LCD TV, 16:9",D24HN-E1,https://www.staples.com/VIZIO-D-D24hn-E1-24-720p-LED-LCD-TV-16-9/product_IM14U0184,Televisions,Staples,retailer,6
"Samsung 690 Series HG28NE690AFXZA 28"" 720p Hospitality LED-LCD Smart TV, Black",HG28NE690AFXZA,https://www.staples.com/Samsung-690-Series-HG28NE690AFXZA-28-720p-Hospitality-LED-LCD-Smart-TV-Black/product_IM14Q2436,Televisions,Staples,retailer,6
"LG 24LH4830-PU 24"" Class 720P HD LED TV With smart tv",24LH4830-PU,https://www.staples.com/lg-24lh4830-pu-24-class-720p-hd-led-tv-with-smart-tv/product_24328495,Televisions,Staples,retailer,6
"Samsung 690 Series HG24NE690AFXZA 24"" 720p Hospitality LED-LCD Smart TV, Black",HG24NE690AFXZA,https://www.staples.com/Samsung-690-Series-HG24NE690AFXZA-24-720p-Hospitality-LED-LCD-Smart-TV-Black/product_IM14Q2435,Televisions,Staples,retailer,6
Samsung UN40M530D-RB Refurbished 40 in 1080P Smart LED - Black,UN40M530D-RB,https://www.staples.com/samsung-un40m530d-rb-refurbished-40-in-1080p-smart-led-black/product_24307492,Televisions,Staples,retailer,6
"Samsung 6290 UN65MU6290F 64.5"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Dark Titan (UN65MU6290FXZA)",UN65MU6290FXZA,https://www.staples.com/samsung-6290-un65mu6290f-64-5-2160p-led-lcd-tv-16-9-4k-uhdtv-dark-titan-un65mu6290fxza/product_IM11AQ779,Televisions,Staples,retailer,6
"Samsung HE470 HG32NE470FFXZA 32"" HD LED LCD TV, Black",HG32NE470FFXZA,https://www.staples.com/samsung-he470-hg32ne470ffxza-32-hd-led-lcd-tv-black/product_IM12DA601,Televisions,Staples,retailer,6
"Samsung 7500 UN55MU7500F 55"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Titan Silver (UN55MU7500FXZA)",UN55MU7500FXZA,https://www.staples.com/Samsung-7500-UN55MU7500F-55-2160p-LED-LCD-TV-16-9-4K-UHDTV-Titan-Silver-UN55MU7500FXZA/product_IM18Q8809,Televisions,Staples,retailer,6
"VIZIO SmartCast D D32f-F1 31.5"" 1080p LED-LCD TV, 16:9, HDTV",D32F-F1,https://www.staples.com/vizio-smartcast-d-d32f-f1-31-5-1080p-led-lcd-tv-16-9-hdtv/product_IM12KB748,Televisions,Staples,retailer,6
"VIZIO D D39F-E1 39"" 1080p LED-LCD TV, 16:9, HDTV, Black (D39F-E1)",D39F-E1,https://www.staples.com/VIZIO-D-D39F-E1-39-1080p-LED-LCD-TV-16-9-HDTV-Black-D39F-E1/product_IM14U1226,Televisions,Staples,retailer,6
"Samsung 478 Series HG55NE478BFXZA 55"" 1080p Hospitality LED-LCD TV, Black",HG55NE478BFXZA,https://www.staples.com/Samsung-478-Series-HG55NE478BFXZA-55-1080p-Hospitality-LED-LCD-TV-Black/product_IM14N2671,Televisions,Staples,retailer,6
"Samsung UN65MU7500/HW-M4500 65"" 4K Ultra HD Curved LED Smart TV and Sound Bar Bundle",UN65MU7500/HW-M4500,https://www.staples.com/samsung-un65mu7500-hw-m4500-65-4k-ultra-hd-curved-led-smart-tv-and-sound-bar-bundle/product_IM12GG532,Televisions,Staples,retailer,6
TLC 40FS3750 Refurbished 40 IN. 1080P Television,40FS3750-RB,https://www.staples.com/tlc-40fs3750-refurbished-40-in-1080p-television/product_24288255,Televisions,Staples,retailer,6
"Samsung KS8500 UN65KS8500FXZA 65"" Curved 4K SUHD Smart LED TV, Black",UN65KS8500FXZA/B,https://www.staples.com/samsung-ks8500-un65ks8500fxza-65-curved-4k-suhd-smart-led-tv-black/product_IM14D4520,Televisions,Staples,retailer,6
"VIZIO D D43-E2 42.5"" 2160p LED-LCD TV, 16:9, 4K UHDTV (D43-E2)",D43-E2,https://www.staples.com/VIZIO-D-D43-E2-42-5-2160p-LED-LCD-TV-16-9-4K-UHDTV-D43-E2/product_IM14U1325,Televisions,Staples,retailer,6
"Samsung DB-E 55"" 1080p Slim Direct-Lit LED-LCD TV, Black",DB55E,https://www.staples.com/Samsung-DB-E-55-1080p-Slim-Direct-Lit-LED-LCD-TV-Black/product_IM11C4015,Televisions,Staples,retailer,6
"Proscan 32"" 720p Direct LED HDTV With DVD Player",CURPLDV321300,https://www.staples.com/Proscan-32-720p-Direct-LED-HDTV-With-DVD-Player/product_1199990,Televisions,Staples,retailer,6
Samsung Refurbished (UN32J4000AFXZA) 32 IN. LED TV,UN32J4000AFXZA,https://www.staples.com/samsung-j400-full-led-smart-tv-32-in-720p-television/product_24288251,Televisions,Staples,retailer,6
"Axess  tv1703 16"" Full HD LED TV",93592691M,https://www.staples.com/Axess-tv1703-16-Full-HD-LED-TV/product_1832942,Televisions,Staples,retailer,6
LG 43LJ5500 Refurbished 43 IN. 1080P LED Television,43LJ5500-RB,https://www.staples.com/lg-43lj5500-refurbished-43-in-1080p-led-television/product_24288263,Televisions,Staples,retailer,6
Tcl 49S403 Refurbished 49 IN. 2160P LED Television,49S403-RB,https://www.staples.com/tcl-49s403-refurbished-49-in-2160p-led-television/product_24288247,Televisions,Staples,retailer,6
"Naxa® 22"" Widescreen LED HD Television With Built In Digital TV Tuner and USB/SD Inputs/DVD Player",93577824M,https://www.staples.com/Naxa-22-Widescreen-LED-HD-Television-With-Built-In-Digital-TV-Tuner-and-USB-SD-Inputs-DVD-Player/product_283276,Televisions,Staples,retailer,6
"Supersonic® 1920 x 1080 SC-2411 24"" Widescreen LED HD Television",93576169M,https://www.staples.com/Supersonic-1920-x-1080-SC-2411-24-Widescreen-LED-HD-Television/product_132974,Televisions,Staples,retailer,6
Tcl 49S403 Refurbished 49 IN. 2160P LED Television,49S403-RB,https://www.staples.com/tcl-49s403-refurbished-49-in-2160p-led-television/product_24288247,Televisions,Staples,retailer,6
"LG 32"" Class (31.5"" Diagonal) 32LV340C Essential Commercial TV Functionality",32LV340C,https://www.staples.com/LG-32-Class-31-5-Diagonal-32LV340C-Essential-Commercial-TV-Functionality/product_IM18K2138,Televisions,Staples,retailer,6
"Naxa® 22"" Widescreen LED HD Television With Built In Digital TV Tuner and USB/SD Inputs/DVD Player",93577824M,https://www.staples.com/Naxa-22-Widescreen-LED-HD-Television-With-Built-In-Digital-TV-Tuner-and-USB-SD-Inputs-DVD-Player/product_283276,Televisions,Staples,retailer,6
"Supersonic® 1920 x 1080 SC-2411 24"" Widescreen LED HD Television",93576169M,https://www.staples.com/Supersonic-1920-x-1080-SC-2411-24-Widescreen-LED-HD-Television/product_132974,Televisions,Staples,retailer,6
"VIZIO E E43-F1 43"" 2160p LED-LCD TV, 16:9, 4K UHDTV",E43-F1,https://www.staples.com/vizio-e-e43-f1-43-2160p-led-lcd-tv-16-9-4k-uhdtv/product_IM12TM063,Televisions,Staples,retailer,6
"LG 32LJ550B 32"" Class 720P HD LED TV With smart tv",32LJ550B,https://www.staples.com/lg-32lj550b-32-class-720p-hd-led-tv-with-smart-tv/product_24328486,Televisions,Staples,retailer,6
"Vizio D24HN-D1-RB Refurbished 24"" 1080P LED Television",D24HN-D1-RB,https://www.staples.com/vizio-d24hn-d1-rb-refurbished-32-in-1080p-led-television/product_24288248,Televisions,Staples,retailer,6
"Refurbished Samsung 32"" Class J525D Full LED Smart TV (UN32J525D)",UN32J525D-RB,https://www.staples.com/samsung-j525d-rb-refurbished-43-in-1080p-led-television/product_24288258,Televisions,Staples,retailer,6
"Samsung KU7000 Series UN65KU7000FXZA/B 65"" 4K UHD LED LCD Smart TV",UN65KU7000FXZA/B,https://www.staples.com/samsung-ku7000-series-un65ku7000fxza-b-65-4k-uhd-led-lcd-smart-tv/product_IM12KB701,Televisions,Staples,retailer,6
"Supersonic Sc-1311 13.3"" 720p Ac/dc Led Tv",SSCSC1311,https://www.staples.com/Supersonic-Sc-1311-13-3-720p-Ac-dc-Led-Tv/product_23974397,Televisions,Staples,retailer,6
"Samsung 5300 UN50M5300AFXZA 50"" 1080p LED-LCD TV, 16:9, HDTV (UN50M5300AFXZA)",UN50M5300AFXZA,https://www.staples.com/samsung-5300-un50m5300afxza-50-1080p-led-lcd-tv-16-9-hdtv-un50m5300afxza/product_IM19A2179,Televisions,Staples,retailer,6
"Samsung 5202 UN43J5202AF 43"" 1080p LED-LCD TV, 16:9, HDTV, Black (UN43J5202AFXZA)",UN43J5202AFXZA,https://www.staples.com/samsung-5202-un43j5202af-43-1080p-led-lcd-tv-16-9-hdtv-black-un43j5202afxza/product_IM12GG520,Televisions,Staples,retailer,6
